country_code, maaeone, lapefodp, mapeone, maaetwo, lapeftdp, mapetwo
LV,86.9047619047619,100.0,86.90476190476191,90.47619047619048,100.0,80.95238095238095
LB,83.76984126984128,0.0,73.76984126984127,74.40476190476191,0.0,61.07142857142858
LR,100.57932263814617,100.0,76.33689839572193,91.46167557932263,100.0,73.27985739750446
LY,100.0,100.0,33.33333333333333,100.0,100.0,100.0
LI,100.0,100.0,100.0,100.0,100.0,100.0
LT,1895.6989247311826,100.0,-1730.1075268817203,79.03225806451613,100.0,79.03225806451613
LU,71.0,100.0,71.0,92.33333333333334,100.0,44.33333333333333
MK,64.62752525252526,0.0,-16.17723665223665,66.00602453102452,50.0,-20.035245310245312
MG,90.13677811550153,50.0,16.377912867274567,85.22289766970619,50.0,-3.4295845997973666
MW,100.0,100.0,0.0,50.0,0.0,50.0
MY,151.07526881720432,100.0,-23.11827956989248,68.81720430107528,100.0,68.81720430107526
MV,100.0,100.0,100.0,100.0,100.0,100.0
