country_code,error(1-day),error(2-day),mean of consecutive difference,total data points,number of outliers, how much we took(%)
GA,88.0,82.0,0.9655172413793104,29,5,82.75862068965517
GM,87.87878787878788,53.48484848484849,2.5384615384615383,13,3,76.92307692307693
GE,100.0,100.0,0.0,13,13,0.0
DE,94.88712824874295,113.66135064495626,20.583333333333332,108,20,81.48148148148148
GH,82.37323633156967,74.69135802469137,2.0232558139534884,43,8,81.3953488372093
GR,59.48979591836735,52.51700680272109,0.9180327868852459,61,13,78.68852459016394
GP,66.66666666666667,66.66666666666667,0.0,8,8,0.0
GT,44.57150041465747,45.04856040687353,9.262626262626263,99,21,78.78787878787878
GN,92.85714285714286,2495.2380952380954,0.5135135135135135,37,17,54.054054054054056
GY,100.0,100.0,0.0,15,15,0.0
HT,60.30864197530864,61.85185185185184,1.671641791044776,67,14,79.1044776119403
HN,85.08667428334131,95.68790052714782,9.114285714285714,105,18,82.85714285714286
HU,64.36967260022288,78.57864015596464,1.7037037037037037,81,20,75.30864197530865
IN,65.74973557583036,67.0319593470312,96.23008849557522,113,10,91.1504424778761
ID,29.494443798373165,34.429588717162,14.31304347826087,115,18,84.34782608695653
CI,70.65972222222223,52.25694444444445,0.8571428571428571,56,9,83.92857142857143
IR,12.533359001360646,15.23497507231763,13.632478632478632,117,22,81.19658119658119
IQ,27.384995830583918,28.756725414481902,7.065420560747664,107,26,75.70093457943925
IE,63.353105396264986,72.35856358553728,10.341463414634147,82,7,91.46341463414635
IL,48.22352250923679,51.49663828235257,2.65625,96,20,79.16666666666666
IT,43.44318592669131,47.48695921286119,23.82300884955752,113,18,84.070796460177
JM,100.0,85.71428571428571,0.25,8,2,75.0
JP,58.719329165289345,64.18895245907629,5.269662921348314,89,18,79.7752808988764
JO,100.0,100.0,0.0,3,3,0.0
KZ,77.2254312638928,76.8627312858082,9.395348837209303,43,5,88.37209302325581
KE,83.22268009768011,89.39077126577126,3.1894736842105265,95,18,81.05263157894737
KW,45.95384773956203,53.706333349190494,1.6283185840707965,113,23,79.64601769911505
KG,89.04902477338624,95.92823273647578,27.28125,64,5,92.1875
LV,98.07692307692308,100.0,0.45,20,8,60.0
LB,82.18390804597703,70.11494252873563,1.3529411764705883,34,6,82.35294117647058
LR,97.72727272727273,92.42424242424242,1.4857142857142858,35,3,91.42857142857143
LY,100.0,100.0,1.0,2,1,50.0
LT,2246.153846153846,78.84615384615384,0.8064516129032258,31,6,80.64516129032258
LU,75.0,85.8974358974359,0.6428571428571429,28,3,89.28571428571429
MK,57.326278659611994,62.87433862433863,2.0925925925925926,108,19,82.4074074074074
