date,deaths,confirmed,recovered,CFR_1,CFR_2
2020-03-13,5397,144527,69930,0.07164761639252858,0.037342503476858996
2020-03-14,6178,158781,72648,0.07837515540557684,0.038908937467329215
2020-03-15,4585,139751,73151,0.058981681588967785,0.032808351997481236
2020-03-16,7103,178565,77757,0.08370256893707283,0.03977823201635259
2020-03-17,7890,195637,80480,0.0892836935611633,0.04032979446628194
2020-03-18,8719,213506,82971,0.09509215835969026,0.04083725984281472
2020-03-19,9847,241390,84623,0.10423414840690166,0.04079290774265711
2020-03-20,11289,271122,87058,0.11478743632240943,0.041638081749175646
2020-03-21,12961,303509,91346,0.12425819935383052,0.04270384074277863
2020-03-22,14621,334762,97494,0.13041073897337555,0.043675805497637124
2020-03-23,16489,377575,100391,0.1410763175906913,0.04367079388201019
2020-03-24,18615,417964,107705,0.14736383787207094,0.04453732857375276
2020-03-25,21171,466882,113183,0.1575762537773345,0.04534550485990036
2020-03-26,23958,528724,121536,0.16466658418903873,0.045312866448279254
2020-03-27,27186,592394,130300,0.17262486824225645,0.04589175447421817
2020-03-28,30640,659795,138799,0.18083203984914925,0.046438666555521035
2020-03-29,33913,719190,148460,0.1859540611823022,0.04715443763122402
2020-03-30,37570,781427,163944,0.1864386593487301,0.04807870728807681
2020-03-31,42094,856527,177407,0.19177133589368614,0.04914497733288034
2020-04-01,46793,931610,192546,0.195509298526358,0.050228099741308055
2020-04-02,52967,1012130,209616,0.2017152671726654,0.0523322102891921
2020-04-03,58771,1094856,225146,0.20700063751025827,0.05367920530188445
2020-04-04,64590,1196311,245496,0.20829705307559837,0.05399097726260145
2020-04-05,69358,1270991,259345,0.2110050714474769,0.05457001662482268
2020-04-06,74549,1343959,275849,0.21275520979001022,0.05546969810835003
2020-04-07,81846,1424922,299369,0.21469774274359613,0.05743893349951787
2020-04-08,88316,1509914,327968,0.2121532415370276,0.058490748479714735
2020-04-09,95433,1594159,353280,0.21268160271710426,0.059864166623279105
2020-04-10,102496,1690454,375378,0.21448331568572468,0.060632232524517084
2020-04-11,108608,1770204,401374,0.21296437913494987,0.061353380740298856
2020-04-12,114059,1845341,420985,0.21317686022084165,0.06180917239686323
2020-04-13,119457,1915946,447918,0.21054329147389292,0.06234883446610708
2020-04-14,125957,1974713,473492,0.21012129472232,0.06378496520760232
2020-04-15,134150,2054499,510249,0.2081784732750982,0.06529572416438266
2020-04-16,143771,2151018,541319,0.20985709906727584,0.0668385852652093
2020-04-17,153789,2238500,567541,0.21320200185767957,0.0687018092472638
2020-04-18,159476,2316012,591508,0.21235605552182205,0.06885801973392193
2020-04-19,165009,2399600,623088,0.20937651075946234,0.06876521086847807
2020-04-20,169951,2470460,644923,0.20856107815441405,0.06879326117403237
2020-04-21,176547,2547476,679004,0.20635473513560268,0.06930271374489887
2020-04-22,182991,2621587,708879,0.20517676342964783,0.0698016125346975
2020-04-23,190822,2707035,737647,0.20552328618402985,0.07049114621717119
2020-04-24,197115,2808856,792581,0.19916721902483187,0.0701762568106019
2020-04-25,202812,2895027,815845,0.1990974390791012,0.07005530518368222
