country name,Country_code_iso2,healthcare index,Country_name,population,Tot_affected,Tot_dead,Tot_recov,Affected per thousand,Active,Active_rateaff,Active_raterec
Oman,OM,58.154239766081865,Oman,4420133.0,8373.0,39.0,2177.0,1.894286891367296,6157.0,73.53397826346591,73.87808975281978
Canada,CA,71.58088490288624,Canada,36155487.0,88989.0,6876.0,46248.0,2.461286166605915,35865.0,40.302734045780944,43.67761499397172
Portugal,PT,71.88356618383239,Portugal,10374822.0,31292.0,1356.0,18349.0,3.0161481324691644,11587.0,37.02863351655375,38.70590593265633
United Kingdom,GB,74.46214569096963,United Kingdom,65110000.0,268619.0,37542.0,1166.0,4.1256181846106585,229911.0,85.58999921822358,99.4954062931404
Qatar,QA,73.30257137786309,Qatar,2587564.0,48947.0,30.0,13283.0,18.916247095724014,35634.0,72.80119312726009,72.84584091420159
Lithuania,LT,69.49028321935113,Lithuania,2872294.0,1647.0,66.0,1184.0,0.5734092679927613,397.0,24.104432301153608,25.110689437065147
Croatia,HR,62.679704472687405,Croatia,4190669.0,2244.0,101.0,2047.0,0.5354753620483985,96.0,4.27807486631016,4.479701353243117
United Arab Emirates,AE,67.03940119664006,United Arab Emirates,9856000.0,31969.0,255.0,16371.0,3.2436079545454546,15343.0,47.99336857580781,48.37926467806016
Czech Republic,CZ,74.62370946496463,Czechia,10558524.0,9086.0,317.0,6370.0,0.8605369462625647,2399.0,26.40325775918996,27.357737484319763
France,FR,79.98898809574172,France,66710000.0,183038.0,28599.0,66702.0,2.743786538749813,87737.0,47.933762388137986,56.81013215573787
Ireland,IE,51.88632331511487,Ireland,6378000.0,24803.0,1631.0,22089.0,3.888836625901536,1083.0,4.366407289440794,4.673744174003106
Belgium,BE,74.33633922692606,Belgium,11319511.0,57592.0,9364.0,15465.0,5.0878522932660255,32763.0,56.888109459647175,67.93356556357303
Slovakia,SK,60.023767984282316,Slovakia,5426252.0,1515.0,28.0,1327.0,0.2791982384894767,160.0,10.561056105610561,10.759919300605247
Saudi Arabia,SA,59.11351937641233,Saudi Arabia,32248200.0,78541.0,425.0,51022.0,2.4355157807257464,27094.0,34.49663233215773,34.68431563316094
Latvia,LV,62.90568702888348,Latvia,1961600.0,1057.0,23.0,741.0,0.5388458401305056,293.0,27.71996215704825,28.336557059961315
Israel,IL,73.2885665023417,Israel,8527400.0,16793.0,281.0,14570.0,1.9692989656870796,1942.0,11.56434228547609,11.761143410852714
Cyprus,CY,51.75355667435408,Cyprus,847000.0,939.0,17.0,594.0,1.1086186540731997,328.0,34.930777422790214,35.57483731019523
Singapore,SG,70.83623033455724,Singapore,5535000.0,32876.0,23.0,17276.0,5.9396567299006335,15577.0,47.38106825647889,47.41423918668006
Taiwan,TW,86.71452788370918,Taiwan*,23503349.0,441.0,7.0,419.0,0.01876328347930331,15.0,3.4013605442176877,3.4562211981566824
Poland,PL,61.00867058661992,Poland,38437239.0,22473.0,1028.0,10330.0,0.58466738466829,11115.0,49.45935122146576,51.830263464677074
Italy,IT,66.59010710502179,Italy,60665551.0,231139.0,33072.0,147101.0,3.8100535837876097,50966.0,22.049935320305096,25.73169685005579
South Korea,KR,81.96500377927123,"Korea, South",50801405.0,11344.0,269.0,10340.0,0.223300910673632,735.0,6.47919605077574,6.636568848758465
Belarus,BY,59.036678989595394,Belarus,9498700.0,38956.0,214.0,15923.0,4.101192794803499,22819.0,58.576342540301894,58.89990191523411
Greece,GR,56.214111561470226,Greece,10858018.0,2903.0,173.0,1374.0,0.2673600283219276,1356.0,46.71029968997588,49.67032967032968
Romania,RO,55.05578456008383,Romania,19861408.0,18594.0,1227.0,12162.0,0.9361874042363966,5205.0,27.992900935785734,29.97063396096044
South Africa,ZA,64.14472858459068,South Africa,55653654.0,25937.0,552.0,13451.0,0.4660430741888035,11934.0,46.01148937810849,47.01201496947016
Bulgaria,BG,55.39576041018786,Bulgaria,7153784.0,2460.0,133.0,912.0,0.3438739553780209,1415.0,57.52032520325203,60.80790717662226
Hungary,HU,47.799874881952235,Hungary,9823000.0,3793.0,505.0,1856.0,0.3861345821032271,1432.0,37.75375692064328,43.552311435523116
Turkey,TR,69.80285710892498,Turkey,78741053.0,159797.0,4431.0,122793.0,2.0293988194442867,32573.0,20.383987183739368,20.965333470643515
Uruguay,UY,66.28119946157919,Uruguay,3480222.0,803.0,22.0,650.0,0.23073240730045386,131.0,16.313823163138235,16.773367477592828
Ecuador,EC,70.58601588239037,Ecuador,16545799.0,38103.0,3275.0,18425.0,2.302880628490652,16403.0,43.049103745111935,47.09716320202136
Bosnia And Herzegovina,BA,52.26250385391089,Bosnia and Herzegovina,3531159.0,2435.0,151.0,1744.0,0.6895752924181551,540.0,22.176591375770027,23.642732049036773
Chile,CL,65.442927827156,Chile,18191900.0,82289.0,841.0,33540.0,4.523386782029365,47908.0,58.219203052655885,58.82035163539928
Mexico,MX,70.12282773228377,Mexico,122273473.0,78023.0,8597.0,53834.0,0.6381024279894301,15592.0,19.98385091575561,22.458444962982167
Malaysia,MY,68.10437661360798,Malaysia,31405416.0,7619.0,115.0,6083.0,0.24260146721189746,1421.0,18.650741567134798,18.936567164179106
Serbia,RS,51.265556521036174,Serbia,7076372.0,11275.0,240.0,6277.0,1.5933305936997093,4758.0,42.19955654101996,43.117353874037164
Georgia,GE,51.23671182935093,Georgia,3720400.0,735.0,12.0,557.0,0.1975594022148156,166.0,22.585034013605448,22.959889349930844
Kuwait,KW,56.20827988883545,Kuwait,4183658.0,23267.0,175.0,7946.0,5.561401051424376,15146.0,65.0964885889887,65.58981465442578
Argentina,AR,69.25247222855947,Argentina,43590400.0,13933.0,500.0,4349.0,0.31963459844369396,9084.0,65.19773200315797,67.62450681158343
Jordan,JO,64.60226919248475,Jordan,9531712.0,720.0,9.0,586.0,0.07553732215157151,125.0,17.36111111111111,17.580872011251756
North Macedonia,MK,56.378298991344536,North Macedonia,2058539.0,2039.0,119.0,1470.0,0.9905083168208132,450.0,22.069641981363414,23.4375
India,IN,67.1269938320172,India,1295210000.0,158086.0,4534.0,67749.0,0.12205433867866987,85803.0,54.276153486077185,55.87879024695217
Panama,PA,59.92786003290204,Panama,3814672.0,11728.0,315.0,7379.0,3.0744451947637965,4034.0,34.39631650750341,35.34565845965128
Lebanon,LB,64.375423612315,Lebanon,5988000.0,1161.0,26.0,692.0,0.1938877755511022,443.0,38.15676141257537,39.03083700440529
Colombia,CO,67.24011019553645,Colombia,48759958.0,24104.0,803.0,6111.0,0.4943400484471295,17190.0,71.31596415532691,73.77365778292776
Brazil,BR,56.29039044608058,Brazil,206135893.0,411821.0,25598.0,166647.0,1.997813161049056,219576.0,53.318310625247385,56.85212946924445
Morocco,MA,45.71935330426248,Morocco,33337529.0,7601.0,202.0,4978.0,0.2280013014761832,2421.0,31.851072227338506,32.720637924043785
Pakistan,PK,60.58674613589418,Pakistan,194125062.0,59151.0,1225.0,19142.0,0.3047056335260823,38784.0,65.56778414566111,66.95439008390015
Ukraine,UA,52.333587237496126,Ukraine,42692393.0,21905.0,658.0,7995.0,0.5130890648364452,13252.0,60.49760328692079,62.3711582811691
China,CN,64.48304749196544,China,1377422166.0,84106.0,4638.0,79367.0,0.06106043744325805,101.0,0.12008655743942168,0.12709518296672875
Russia,RU,57.59407546123578,Russia,146599183.0,370680.0,3968.0,142208.0,2.5285270518867757,224504.0,60.56544728606885,61.22079451995025
Thailand,TH,77.94771584437149,Thailand,65327652.0,3054.0,57.0,2931.0,0.04674896321086207,66.0,2.161100196463654,2.2022022022022023
Indonesia,ID,60.483003134127294,Indonesia,258705000.0,23851.0,1473.0,6057.0,0.09219381148412284,16321.0,68.42899668776991,72.93323800160873
Kazakhstan,KZ,50.695745427244965,Kazakhstan,17753200.0,9304.0,37.0,4768.0,0.5240745330419305,4499.0,48.35554600171969,48.548613359231695
Vietnam,VN,57.7006626139217,Vietnam,92700000.0,327.0,0.0,278.0,0.0035275080906148866,49.0,14.984709480122323,14.984709480122323
Egypt,EG,45.840333291469705,Egypt,91290000.0,19666.0,816.0,5205.0,0.21542337605433234,13645.0,69.38370792230245,72.3872679045093
Peru,PE,56.15480198813532,Peru,31488700.0,135905.0,3983.0,56169.0,4.3159927211983975,75753.0,55.739671093778746,57.42256788102061
Philippines,PH,67.47424953361626,Philippines,103279800.0,15049.0,904.0,3506.0,0.14571097155494106,10639.0,70.69572729084989,75.21385648639095
Sri Lanka,LK,72.53332484405294,Sri Lanka,20966000.0,1469.0,10.0,732.0,0.07006582085280931,727.0,49.48944860449286,49.82864976010967
Iran,IR,51.699244026265156,Iran,79369900.0,141591.0,7564.0,111176.0,1.7839382435910842,22851.0,16.13873763162913,17.049549717594214
Kenya,KE,55.588166086552384,Kenya,47251000.0,1471.0,55.0,408.0,0.031131616262089688,1008.0,68.52481305234535,71.18644067796609
Bangladesh,BD,42.796132398470796,Bangladesh,161006790.0,38292.0,544.0,7925.0,0.2378284791591709,29823.0,77.88310874334064,79.00551022570733
Nigeria,NG,51.59092976744031,Nigeria,186988000.0,8733.0,254.0,2501.0,0.04670353177744026,5978.0,68.45299438909882,70.50359712230215
