Country name,Pearson's correlation,P-value of pearson's correlation,Comment on pearson's correlation,Spearsman's correlation,P-value of spearman's correlation,Comment on spearsman's correlation,Kendall's correlation,P-value of kendall's correlation,Comment on kendall's correlation
Georgia,0.079,0.678,uncorrelated,0.164,0.387,uncorrelated,0.089,0.505,uncorrelated
Germany,-0.659,0.000,correlated,-0.580,0.000,correlated,-0.424,0.000,correlated
Ghana,-0.212,0.383,uncorrelated,-0.333,0.163,uncorrelated,-0.278,0.133,uncorrelated
Greece,-0.336,0.052,uncorrelated,-0.334,0.053,uncorrelated,-0.264,0.030,correlated
Guinea,0.016,0.961,uncorrelated,-0.071,0.826,uncorrelated,-0.032,0.889,uncorrelated
Honduras,-0.338,0.124,uncorrelated,-0.368,0.092,uncorrelated,-0.285,0.076,uncorrelated
Hungary,-0.635,0.000,correlated,-0.640,0.000,correlated,-0.430,0.001,correlated
Iceland,0.112,0.510,uncorrelated,0.048,0.776,uncorrelated,0.024,0.834,uncorrelated
India,-0.176,0.296,uncorrelated,-0.406,0.013,correlated,-0.289,0.013,correlated
Indonesia,-0.125,0.504,uncorrelated,-0.087,0.640,uncorrelated,-0.051,0.694,uncorrelated
Iran,0.018,0.903,uncorrelated,0.001,0.993,uncorrelated,-0.002,0.986,uncorrelated
Iraq,-0.175,0.300,uncorrelated,-0.168,0.320,uncorrelated,-0.119,0.312,uncorrelated
Ireland,0.154,0.401,uncorrelated,0.126,0.492,uncorrelated,0.081,0.525,uncorrelated
Israel,-0.413,0.008,correlated,-0.314,0.048,correlated,-0.232,0.039,correlated
Italy,-0.282,0.055,uncorrelated,-0.292,0.046,correlated,-0.197,0.054,uncorrelated
Japan,0.262,0.056,uncorrelated,0.189,0.171,uncorrelated,0.129,0.176,uncorrelated
